GANTRYID,VEHICLEPLATE,VEHICLETYPE,TRANSTIME
G001,沪N76318_0,T3,01/06/2022 21:09:00
G002,沪N76318_0,T3,01/06/2022 21:09:47
G003,沪N76318_0,T3,01/06/2022 21:11:01
G004,沪N76318_0,T3,01/06/2022 21:13:04
G005,沪N76318_0,T3,01/06/2022 21:14:22
G006,沪N76318_0,T3,01/06/2022 21:17:12
G007,沪N76318_0,T3,01/06/2022 21:19:45
G008,沪N76318_0,T3,01/06/2022 21:23:27
G009,沪N76318_0,T3,01/06/2022 21:26:35
G010,沪N76318_0,T3,01/06/2022 21:32:28
G011,沪N76318_0,T3,01/06/2022 21:34:08
G008,沪N76318_0,T3,02/06/2022 09:56:00
G009,沪N76318_0,T3,02/06/2022 09:58:39
G010,沪N76318_0,T3,02/06/2022 10:17:52
G011,沪N76318_0,T3,02/06/2022 10:19:08
G009,沪N76318_0,T3,03/06/2022 13:24:00
G010,沪N76318_0,T3,03/06/2022 13:30:38
G005,川A78283_0,B1,01/06/2022 18:38:00
G006,川A78283_0,B1,01/06/2022 18:45:42
G001,川A78283_0,B1,04/06/2022 19:42:00
G002,川A78283_0,B1,04/06/2022 19:43:17
G003,川A78283_0,B1,04/06/2022 19:45:20
G004,川A78283_0,B1,04/06/2022 19:48:18
G005,川A78283_0,B1,04/06/2022 19:50:10
G006,川A78283_0,B1,04/06/2022 19:58:20
G007,川A78283_0,B1,04/06/2022 20:00:26
G008,川A78283_0,B1,04/06/2022 20:04:23
G009,川A78283_0,B1,04/06/2022 20:06:22
G010,川A78283_0,B1,04/06/2022 20:14:29
G011,川A78283_0,B1,04/06/2022 20:16:19
G005,川F85689_2,B2,01/06/2022 18:46:00
G006,川F85689_2,B2,01/06/2022 18:55:16
G007,川F85689_2,B2,01/06/2022 18:59:02
G008,川F85689_2,B2,01/06/2022 19:03:31
G009,川F85689_2,B2,01/06/2022 19:07:29
G001,川F85689_2,B2,02/06/2022 16:05:00
G002,川F85689_2,B2,02/06/2022 16:05:57
G003,川F85689_2,B2,02/06/2022 16:07:16
G004,川F85689_2,B2,02/06/2022 16:09:06
G005,川F85689_2,B2,02/06/2022 16:10:17
G006,川F85689_2,B2,02/06/2022 16:13:55
G007,川F85689_2,B2,02/06/2022 16:16:10
G008,川F85689_2,B2,02/06/2022 16:19:49
G009,川F85689_2,B2,02/06/2022 16:21:59
G010,川F85689_2,B2,02/06/2022 16:25:57
G011,川F85689_2,B2,02/06/2022 16:28:00
G005,川F85689_2,B2,03/06/2022 11:42:00
G006,川F85689_2,B2,03/06/2022 11:45:09
G007,川F85689_2,B2,03/06/2022 11:47:40
G008,川F85689_2,B2,03/06/2022 11:51:02
G009,川F85689_2,B2,03/06/2022 11:53:42
G002,川F85689_2,B2,04/06/2022 16:16:00
G003,川F85689_2,B2,04/06/2022 16:16:57
G004,川F85689_2,B2,04/06/2022 16:18:51
G005,川F85689_2,B2,04/06/2022 16:20:52
G002,浙R11634_2,B2,01/06/2022 12:22:00
G003,浙R11634_2,B2,01/06/2022 12:23:16
G004,浙R11634_2,B2,01/06/2022 12:25:27
G005,浙R11634_2,B2,01/06/2022 12:27:35
G006,浙R11634_2,B2,01/06/2022 12:30:33
G007,浙R11634_2,B2,01/06/2022 12:32:07
G008,浙R11634_2,B2,01/06/2022 12:35:10
G009,浙R11634_2,B2,01/06/2022 12:37:17
G010,浙R11634_2,B2,01/06/2022 12:40:34
G011,浙R11634_2,B2,01/06/2022 12:42:24
G003,浙R11634_2,B2,03/06/2022 13:16:00
G004,浙R11634_2,B2,03/06/2022 13:17:55
G005,浙R11634_2,B2,03/06/2022 13:18:57
G006,浙R11634_2,B2,03/06/2022 13:22:07
G007,浙R11634_2,B2,03/06/2022 13:25:04
G008,浙R11634_2,B2,03/06/2022 13:28:53
G009,浙R11634_2,B2,03/06/2022 13:30:41
G008,苏P83817_1,B2,01/06/2022 17:03:00
G009,苏P83817_1,B2,01/06/2022 17:07:50
G005,苏P83817_1,B2,02/06/2022 11:08:00
G006,苏P83817_1,B2,02/06/2022 11:12:29
G007,苏P83817_1,B2,02/06/2022 11:14:55
G008,苏P83817_1,B2,02/06/2022 11:18:33
G009,苏P83817_1,B2,02/06/2022 11:20:36
G010,苏P83817_1,B2,02/06/2022 11:26:48
G011,苏P83817_1,B2,02/06/2022 11:28:26
G001,苏P83817_1,B2,03/06/2022 19:48:00
G002,苏P83817_1,B2,03/06/2022 19:50:12
G003,苏P83817_1,B2,03/06/2022 19:51:35
G004,苏P83817_1,B2,03/06/2022 19:56:37
G005,苏P83817_1,B2,03/06/2022 19:58:57
G006,苏P83817_1,B2,03/06/2022 20:07:35
G007,苏P83817_1,B2,03/06/2022 20:09:54
G008,苏P83817_1,B2,03/06/2022 20:12:48
G009,苏P83817_1,B2,03/06/2022 20:15:01
G010,苏P83817_1,B2,03/06/2022 20:18:59
G011,苏P83817_1,B2,03/06/2022 20:20:34
G004,苏P83817_1,B2,04/06/2022 14:48:00
G005,苏P83817_1,B2,04/06/2022 14:49:13
G006,苏P83817_1,B2,04/06/2022 14:51:51
G007,苏P83817_1,B2,04/06/2022 14:53:52
G008,苏P83817_1,B2,04/06/2022 14:57:53
G003,川E45499_2,B1,01/06/2022 09:03:00
G004,川E45499_2,B1,01/06/2022 09:05:12
G005,川E45499_2,B1,01/06/2022 09:08:01
G006,川E45499_2,B1,01/06/2022 09:13:08
G007,川E45499_2,B1,01/06/2022 09:15:57
G008,川E45499_2,B1,01/06/2022 09:20:45
G009,川E45499_2,B1,01/06/2022 09:23:51
G010,川E45499_2,B1,01/06/2022 09:31:46
G003,川E45499_2,B1,02/06/2022 10:39:00
G004,川E45499_2,B1,02/06/2022 10:41:07
G005,川E45499_2,B1,02/06/2022 10:42:40
G006,川E45499_2,B1,03/06/2022 18:28:00
G007,川E45499_2,B1,03/06/2022 18:30:54
G008,川E45499_2,B1,03/06/2022 18:35:29
G009,川E45499_2,B1,03/06/2022 18:38:44
G010,川E45499_2,B1,03/06/2022 18:44:11
G005,京M81259_1,B2,01/06/2022 08:37:00
G006,京M81259_1,B2,01/06/2022 08:43:16
G007,京M81259_1,B2,01/06/2022 08:46:17
G008,京M81259_1,B2,01/06/2022 08:55:08
G007,京M81259_1,B2,02/06/2022 18:49:00
G008,京M81259_1,B2,02/06/2022 18:53:02
G009,京M81259_1,B2,02/06/2022 18:56:34
G010,京M81259_1,B2,02/06/2022 19:02:30
G011,京M81259_1,B2,02/06/2022 19:08:09
G001,京M81259_1,B2,03/06/2022 19:53:00
G002,京M81259_1,B2,03/06/2022 19:54:53
G003,京M81259_1,B2,03/06/2022 19:56:30
G004,京M81259_1,B2,03/06/2022 19:59:11
G005,京M81259_1,B2,03/06/2022 20:01:52
G006,京M81259_1,B2,03/06/2022 20:06:01
G007,京M81259_1,B2,03/06/2022 20:08:03
G008,京M81259_1,B2,03/06/2022 20:11:44
G009,京M81259_1,B2,03/06/2022 20:13:42
G010,京M81259_1,B2,03/06/2022 20:19:19
G011,京M81259_1,B2,03/06/2022 20:20:49
G001,渝A96379_2,B2,01/06/2022 17:34:00
G002,渝A96379_2,B2,01/06/2022 17:35:41
G003,渝A96379_2,B2,01/06/2022 17:36:47
G004,渝A96379_2,B2,01/06/2022 17:40:13
G005,渝A96379_2,B2,01/06/2022 17:44:10
G006,渝A96379_2,B2,01/06/2022 17:49:40
G007,渝A96379_2,B2,01/06/2022 17:53:42
G008,渝A96379_2,B2,01/06/2022 18:01:25
G009,渝A96379_2,B2,01/06/2022 18:04:03
G010,渝A96379_2,B2,01/06/2022 18:08:29
G011,渝A96379_2,B2,01/06/2022 18:12:38
G003,渝A96379_2,B2,02/06/2022 02:35:00
G004,渝A96379_2,B2,02/06/2022 02:36:34
G005,渝A96379_2,B2,02/06/2022 02:37:52
G006,渝A96379_2,B2,02/06/2022 02:40:34
G007,渝A96379_2,B2,02/06/2022 02:42:38
G008,渝A96379_2,B2,02/06/2022 02:45:12
G009,渝A96379_2,B2,02/06/2022 02:47:29
G001,渝A96379_2,B2,03/06/2022 16:27:00
G002,渝A96379_2,B2,03/06/2022 16:28:07
G003,渝A96379_2,B2,03/06/2022 16:30:00
G004,渝A96379_2,B2,03/06/2022 16:33:01
G005,渝A96379_2,B2,03/06/2022 16:34:07
G006,渝A96379_2,B2,03/06/2022 16:39:55
G007,渝A96379_2,B2,03/06/2022 16:41:42
G008,渝A96379_2,B2,03/06/2022 16:44:23
G009,渝A96379_2,B2,03/06/2022 16:46:23
G010,渝A96379_2,B2,03/06/2022 16:50:33
G011,渝A96379_2,B2,03/06/2022 16:51:53
G008,渝A96379_2,B2,04/06/2022 11:44:00
G009,渝A96379_2,B2,04/06/2022 11:46:04
G010,渝A96379_2,B2,04/06/2022 11:50:20
G001,鲁V80255_2,B1,01/06/2022 17:58:00
G002,鲁V80255_2,B1,01/06/2022 17:59:45
G003,鲁V80255_2,B1,01/06/2022 18:01:17
G004,鲁V80255_2,B1,01/06/2022 18:05:41
G005,鲁V80255_2,B1,01/06/2022 18:07:52
G006,鲁V80255_2,B1,01/06/2022 18:13:04
G007,鲁V80255_2,B1,01/06/2022 18:15:39
G008,鲁V80255_2,B1,01/06/2022 18:20:43
G009,鲁V80255_2,B1,01/06/2022 18:24:23
G010,鲁V80255_2,B1,01/06/2022 18:34:27
G011,鲁V80255_2,B1,01/06/2022 18:37:18
G001,鲁V80255_2,B1,02/06/2022 08:31:00
G002,鲁V80255_2,B1,02/06/2022 08:33:06
G003,鲁V80255_2,B1,02/06/2022 08:35:07
G004,鲁V80255_2,B1,02/06/2022 08:38:16
G005,鲁V80255_2,B1,02/06/2022 08:40:10
G006,鲁V80255_2,B1,02/06/2022 08:46:05
G007,鲁V80255_2,B1,02/06/2022 08:50:01
G008,鲁V80255_2,B1,02/06/2022 08:54:15
G009,鲁V80255_2,B1,02/06/2022 08:57:06
G010,鲁V80255_2,B1,02/06/2022 09:12:13
G011,鲁V80255_2,B1,02/06/2022 09:14:33
G005,鲁V80255_2,B1,03/06/2022 10:11:00
G008,苏R11748_2,B1,01/06/2022 10:00:00
G009,苏R11748_2,B1,01/06/2022 10:03:44
G001,苏R11748_2,B1,02/06/2022 22:06:00
G002,苏R11748_2,B1,02/06/2022 22:07:35
G003,苏R11748_2,B1,02/06/2022 22:08:42
G009,苏R11748_2,B1,03/06/2022 15:51:00
G010,苏R11748_2,B1,03/06/2022 15:54:00
G011,苏R11748_2,B1,03/06/2022 15:55:28
G006,苏R11748_2,B1,04/06/2022 16:48:00
G007,苏R11748_2,B1,04/06/2022 16:49:06
G008,苏R11748_2,B1,04/06/2022 16:53:46
G009,苏R11748_2,B1,04/06/2022 16:55:28
G005,闽E97838_0,T1,02/06/2022 14:59:00
G006,闽E97838_0,T1,02/06/2022 15:02:16
G007,闽E97838_0,T1,02/06/2022 15:04:25
G008,闽E97838_0,T1,02/06/2022 15:07:23
G009,闽E97838_0,T1,02/06/2022 15:09:22
G010,闽E97838_0,T1,02/06/2022 15:14:47
G004,闽E97838_0,T1,03/06/2022 09:11:00
G005,闽E97838_0,T1,03/06/2022 09:13:19
G007,闽E97838_0,T1,04/06/2022 09:32:00
G008,闽E97838_0,T1,04/06/2022 09:36:22
G002,闽U04030_2,B2,01/06/2022 18:46:00
G003,闽U04030_2,B2,01/06/2022 18:47:30
G004,闽U04030_2,B2,01/06/2022 18:50:50
G005,闽U04030_2,B2,01/06/2022 18:52:32
G006,闽U04030_2,B2,01/06/2022 18:56:56
G007,闽U04030_2,B2,01/06/2022 19:00:18
G008,闽U04030_2,B2,01/06/2022 19:06:39
G009,闽U04030_2,B2,01/06/2022 19:10:25
G001,闽U04030_2,B2,02/06/2022 08:34:00
G002,闽U04030_2,B2,02/06/2022 08:35:36
G003,闽U04030_2,B2,02/06/2022 08:37:10
G004,闽U04030_2,B2,02/06/2022 08:40:14
G005,闽U04030_2,B2,02/06/2022 08:42:56
G006,闽U04030_2,B2,02/06/2022 08:51:16
G007,闽U04030_2,B2,02/06/2022 08:55:19
G008,闽U04030_2,B2,02/06/2022 09:03:02
G009,闽U04030_2,B2,02/06/2022 09:05:58
G010,闽U04030_2,B2,02/06/2022 09:20:17
G011,闽U04030_2,B2,02/06/2022 09:24:34
G002,闽U04030_2,B2,03/06/2022 07:11:00
G003,闽U04030_2,B2,03/06/2022 07:13:03
G004,闽U04030_2,B2,03/06/2022 07:15:27
G005,闽U04030_2,B2,03/06/2022 07:17:51
G006,闽U04030_2,B2,03/06/2022 07:25:14
G007,闽U04030_2,B2,03/06/2022 07:28:53
G008,闽U04030_2,B2,03/06/2022 07:36:24
G009,闽U04030_2,B2,03/06/2022 07:39:48
G010,闽U04030_2,B2,03/06/2022 07:45:32
G011,闽U04030_2,B2,03/06/2022 07:51:04
G007,闽U04030_2,B2,04/06/2022 17:31:00
G008,闽U04030_2,B2,04/06/2022 17:34:27
G009,闽U04030_2,B2,04/06/2022 17:38:43
G010,闽U04030_2,B2,04/06/2022 17:44:18
G006,渝L56069_1,B1,01/06/2022 09:26:00
G007,渝L56069_1,B1,01/06/2022 09:27:41
G008,渝L56069_1,B1,01/06/2022 09:35:10
G006,渝L56069_1,B1,02/06/2022 11:49:00
G007,渝L56069_1,B1,02/06/2022 11:50:39
G008,渝L56069_1,B1,02/06/2022 11:54:33
G003,渝L56069_1,B1,03/06/2022 15:57:00
G004,渝L56069_1,B1,03/06/2022 15:58:40
G005,渝L56069_1,B1,03/06/2022 15:59:50
G006,渝L56069_1,B1,03/06/2022 16:03:34
G007,渝L56069_1,B1,03/06/2022 16:05:08
G008,渝L56069_1,B1,03/06/2022 16:08:35
G001,川G06019_2,T2,01/06/2022 13:11:00
G002,川G06019_2,T2,01/06/2022 13:11:49
G003,川G06019_2,T2,01/06/2022 13:12:52
G004,川G06019_2,T2,01/06/2022 13:14:22
G005,川G06019_2,T2,01/06/2022 13:15:40
G006,川G06019_2,T2,01/06/2022 13:19:26
G007,川G06019_2,T2,01/06/2022 13:21:46
G008,川G06019_2,T2,01/06/2022 13:25:28
G009,川G06019_2,T2,01/06/2022 13:27:43
G010,川G06019_2,T2,01/06/2022 13:31:28
G011,川G06019_2,T2,01/06/2022 13:33:03
G001,川G06019_2,T2,02/06/2022 10:24:00
G002,川G06019_2,T2,02/06/2022 10:25:00
G003,川G06019_2,T2,02/06/2022 10:26:00
G004,川G06019_2,T2,02/06/2022 10:28:42
G005,川G06019_2,T2,02/06/2022 10:31:25
G006,川G06019_2,T2,02/06/2022 10:34:54
G007,川G06019_2,T2,02/06/2022 10:37:52
G008,川G06019_2,T2,02/06/2022 10:40:29
G009,川G06019_2,T2,02/06/2022 10:42:38
G010,川G06019_2,T2,02/06/2022 10:54:47
G011,川G06019_2,T2,02/06/2022 10:56:33
G006,川G06019_2,T2,03/06/2022 08:03:00
G007,川G06019_2,T2,03/06/2022 08:08:22
G008,川G06019_2,T2,03/06/2022 08:16:25
G001,闽J44771_2,T1,02/06/2022 12:08:00
G002,闽J44771_2,T1,02/06/2022 12:08:50
G003,闽J44771_2,T1,02/06/2022 12:09:51
G004,闽J44771_2,T1,02/06/2022 12:12:18
G005,闽J44771_2,T1,02/06/2022 12:14:23
G006,闽J44771_2,T1,02/06/2022 12:17:21
G007,闽J44771_2,T1,02/06/2022 12:19:05
G008,闽J44771_2,T1,02/06/2022 12:22:16
G009,闽J44771_2,T1,02/06/2022 12:24:04
G010,闽J44771_2,T1,02/06/2022 12:26:57
G011,闽J44771_2,T1,02/06/2022 12:28:30
G008,闽J44771_2,T1,03/06/2022 14:08:00
G009,闽J44771_2,T1,03/06/2022 14:09:47
G009,苏S25047_1,B1,01/06/2022 11:07:00
G010,苏S25047_1,B1,01/06/2022 11:10:07
G008,苏S25047_1,B1,03/06/2022 19:02:00
G009,苏S25047_1,B1,03/06/2022 19:05:09
G010,苏S25047_1,B1,03/06/2022 19:17:25
G011,苏S25047_1,B1,03/06/2022 19:19:10
G001,苏S25047_1,B1,04/06/2022 20:07:00
G002,苏S25047_1,B1,04/06/2022 20:08:04
G003,苏S25047_1,B1,04/06/2022 20:09:17
G004,苏S25047_1,B1,04/06/2022 20:12:11
G005,苏S25047_1,B1,04/06/2022 20:13:31
G006,苏S25047_1,B1,04/06/2022 20:18:03
G007,苏S25047_1,B1,04/06/2022 20:20:35
G008,苏S25047_1,B1,04/06/2022 20:23:45
G009,苏S25047_1,B1,04/06/2022 20:25:56
G010,苏S25047_1,B1,04/06/2022 20:30:19
G011,苏S25047_1,B1,04/06/2022 20:31:47
G005,苏L91284_1,B2,01/06/2022 12:42:00
G006,苏L91284_1,B2,01/06/2022 12:45:14
G003,苏L91284_1,B2,02/06/2022 22:00:00
G004,苏L91284_1,B2,02/06/2022 22:02:07
G001,苏L91284_1,B2,04/06/2022 16:42:00
G002,苏L91284_1,B2,04/06/2022 16:43:31
G003,苏L91284_1,B2,04/06/2022 16:44:57
G004,苏L91284_1,B2,04/06/2022 16:46:30
G005,苏L91284_1,B2,04/06/2022 16:48:16
G006,苏L91284_1,B2,04/06/2022 16:51:11
G007,苏L91284_1,B2,04/06/2022 16:52:54
G008,苏L91284_1,B2,04/06/2022 16:59:33
G009,苏L91284_1,B2,04/06/2022 17:01:09
G010,苏L91284_1,B2,04/06/2022 17:11:17
G011,苏L91284_1,B2,04/06/2022 17:14:48
G007,渝W01100_1,B1,01/06/2022 18:55:00
G008,渝W01100_1,B1,01/06/2022 19:01:22
G009,渝W01100_1,B1,01/06/2022 19:03:53
G010,渝W01100_1,B1,01/06/2022 19:18:04
G001,渝W01100_1,B1,02/06/2022 10:09:00
G002,渝W01100_1,B1,02/06/2022 10:10:07
G003,渝W01100_1,B1,02/06/2022 10:11:13
G004,渝W01100_1,B1,02/06/2022 10:12:53
G005,渝W01100_1,B1,02/06/2022 10:13:52
G006,渝W01100_1,B1,02/06/2022 10:19:06
G007,渝W01100_1,B1,02/06/2022 10:20:38
G008,渝W01100_1,B1,02/06/2022 10:23:09
G009,渝W01100_1,B1,02/06/2022 10:24:51
G010,渝W01100_1,B1,02/06/2022 10:28:48
G011,渝W01100_1,B1,02/06/2022 10:30:49
G005,渝W01100_1,B1,04/06/2022 20:19:00
G006,渝W01100_1,B1,04/06/2022 20:22:36
G007,渝W01100_1,B1,04/06/2022 20:24:58
G008,渝W01100_1,B1,04/06/2022 20:27:42
G009,渝W01100_1,B1,04/06/2022 20:30:10
G010,渝W01100_1,B1,04/06/2022 20:34:09
G001,浙C98802_1,B3,02/06/2022 13:37:00
G002,浙C98802_1,B3,02/06/2022 13:38:11
G003,浙C98802_1,B3,02/06/2022 13:39:20
G004,浙C98802_1,B3,02/06/2022 13:42:03
G005,浙C98802_1,B3,02/06/2022 13:43:35
G006,浙C98802_1,B3,02/06/2022 13:47:48
G007,浙C98802_1,B3,02/06/2022 13:49:38
G008,浙C98802_1,B3,02/06/2022 13:53:39
G009,浙C98802_1,B3,02/06/2022 13:55:07
G010,浙C98802_1,B3,02/06/2022 13:59:59
G011,浙C98802_1,B3,02/06/2022 14:01:50
G001,浙C98802_1,B3,03/06/2022 07:57:00
G002,浙C98802_1,B3,03/06/2022 07:58:50
G003,浙C98802_1,B3,03/06/2022 08:00:33
G004,浙C98802_1,B3,03/06/2022 08:05:10
G005,浙C98802_1,B3,03/06/2022 08:08:53
G006,浙C98802_1,B3,03/06/2022 08:14:58
G007,浙C98802_1,B3,03/06/2022 08:17:05
G008,浙C98802_1,B3,03/06/2022 08:25:31
G009,浙C98802_1,B3,03/06/2022 08:29:34
G010,浙C98802_1,B3,03/06/2022 08:35:32
G011,浙C98802_1,B3,03/06/2022 08:39:49
G001,浙C98802_1,B3,04/06/2022 11:39:00
G002,浙C98802_1,B3,04/06/2022 11:39:49
G003,浙C98802_1,B3,04/06/2022 11:40:59
G004,浙C98802_1,B3,04/06/2022 11:43:05
G005,浙C98802_1,B3,04/06/2022 11:44:38
G006,浙C98802_1,B3,04/06/2022 11:47:51
G007,浙C98802_1,B3,04/06/2022 11:50:26
G008,浙C98802_1,B3,04/06/2022 11:53:50
G009,浙C98802_1,B3,04/06/2022 11:55:53
G010,浙C98802_1,B3,04/06/2022 11:59:01
G011,浙C98802_1,B3,04/06/2022 12:00:18
G001,苏Z03921_0,T3,01/06/2022 17:58:00
G002,苏Z03921_0,T3,01/06/2022 17:59:54
G003,苏Z03921_0,T3,01/06/2022 18:01:44
G004,苏Z03921_0,T3,01/06/2022 18:04:59
G005,苏Z03921_0,T3,01/06/2022 18:08:20
G006,苏Z03921_0,T3,01/06/2022 18:12:08
G007,苏Z03921_0,T3,01/06/2022 18:16:16
G008,苏Z03921_0,T3,01/06/2022 18:24:36
G003,苏Z03921_0,T3,04/06/2022 15:37:00
G004,苏Z03921_0,T3,04/06/2022 15:39:39
G004,粤Z32085_1,B1,02/06/2022 15:56:00
G005,粤Z32085_1,B1,02/06/2022 15:57:24
G006,粤Z32085_1,B1,02/06/2022 16:02:41
G005,粤Z32085_1,B1,03/06/2022 10:43:00
G006,粤Z32085_1,B1,03/06/2022 10:47:23
G007,粤Z32085_1,B1,03/06/2022 10:49:14
G008,粤Z32085_1,B1,03/06/2022 10:52:08
G009,粤Z32085_1,B1,03/06/2022 10:54:01
G010,粤Z32085_1,B1,03/06/2022 10:57:11
G011,粤Z32085_1,B1,03/06/2022 10:58:50
G008,粤Z32085_1,B1,04/06/2022 22:55:00
G009,粤Z32085_1,B1,04/06/2022 22:56:40
G002,沪B42177_1,T1,02/06/2022 12:50:00
G003,沪B42177_1,T1,02/06/2022 12:50:55
G004,沪B42177_1,T1,02/06/2022 12:52:24
G005,沪B42177_1,T1,02/06/2022 12:53:41
G006,沪B42177_1,T1,02/06/2022 12:57:00
G007,沪B42177_1,T1,02/06/2022 12:58:25
G008,沪B42177_1,T1,02/06/2022 13:01:18
G009,沪B42177_1,T1,02/06/2022 13:03:16
G010,沪B42177_1,T1,02/06/2022 13:07:09
G011,沪B42177_1,T1,02/06/2022 13:08:52
G001,京V55946_1,T2,01/06/2022 09:52:00
G002,京V55946_1,T2,01/06/2022 09:53:30
G003,京V55946_1,T2,01/06/2022 09:55:01
G004,京V55946_1,T2,01/06/2022 09:57:53
G005,京V55946_1,T2,01/06/2022 09:59:44
G006,京V55946_1,T2,01/06/2022 10:04:12
G007,京V55946_1,T2,01/06/2022 10:05:51
G008,京V55946_1,T2,01/06/2022 10:08:44
G009,京V55946_1,T2,01/06/2022 10:10:38
G010,京V55946_1,T2,01/06/2022 10:16:38
G011,京V55946_1,T2,01/06/2022 10:18:56
G008,京V55946_1,T2,02/06/2022 07:28:00
G009,京V55946_1,T2,02/06/2022 07:33:48
G007,京V55946_1,T2,03/06/2022 08:23:00
G008,京V55946_1,T2,03/06/2022 08:27:27
G005,京V55946_1,T2,04/06/2022 17:49:00
G006,京V55946_1,T2,04/06/2022 17:54:16
G007,京V55946_1,T2,04/06/2022 17:58:23
G008,京V55946_1,T2,04/06/2022 18:05:21
G009,京V55946_1,T2,04/06/2022 18:07:36
G007,鲁M63873_0,B1,01/06/2022 06:37:00
G008,鲁M63873_0,B1,01/06/2022 06:40:24
G009,鲁M63873_0,B1,01/06/2022 06:42:19
G007,鲁M63873_0,B1,02/06/2022 18:49:00
G008,鲁M63873_0,B1,02/06/2022 18:53:35
G009,鲁M63873_0,B1,02/06/2022 18:55:46
G010,鲁M63873_0,B1,02/06/2022 19:08:12
G005,鲁M63873_0,B1,03/06/2022 17:45:00
G006,鲁M63873_0,B1,03/06/2022 17:50:42
G007,鲁M63873_0,B1,03/06/2022 17:54:21
G008,鲁M63873_0,B1,03/06/2022 18:03:29
G009,鲁M63873_0,B1,03/06/2022 18:07:55
G010,鲁M63873_0,B1,03/06/2022 18:13:22
G011,鲁M63873_0,B1,03/06/2022 18:16:09
G001,鲁M63873_0,B1,04/06/2022 11:48:00
G002,鲁M63873_0,B1,04/06/2022 11:48:55
G003,鲁M63873_0,B1,04/06/2022 11:49:56
G004,鲁M63873_0,B1,04/06/2022 11:54:18
G005,鲁M63873_0,B1,04/06/2022 11:55:38
G006,鲁M63873_0,B1,04/06/2022 11:59:57
G007,鲁M63873_0,B1,04/06/2022 12:02:07
G008,鲁M63873_0,B1,04/06/2022 12:06:17
G009,鲁M63873_0,B1,04/06/2022 12:08:07
G010,鲁M63873_0,B1,04/06/2022 12:13:30
G011,鲁M63873_0,B1,04/06/2022 12:14:57
G009,粤Z88018_0,B2,01/06/2022 11:17:00
G010,粤Z88018_0,B2,01/06/2022 11:20:40
G001,粤Z88018_0,B2,03/06/2022 21:36:00
G002,粤Z88018_0,B2,03/06/2022 21:36:50
G003,粤Z88018_0,B2,03/06/2022 21:37:43
G004,粤Z88018_0,B2,03/06/2022 21:40:17
G005,粤Z88018_0,B2,03/06/2022 21:41:20
G006,粤Z88018_0,B2,03/06/2022 21:44:25
G007,粤Z88018_0,B2,03/06/2022 21:46:43
G008,粤Z88018_0,B2,03/06/2022 21:50:11
G009,粤Z88018_0,B2,03/06/2022 21:55:01
G010,粤Z88018_0,B2,03/06/2022 22:01:17
G011,粤Z88018_0,B2,03/06/2022 22:02:53
G001,粤Z88018_0,B2,04/06/2022 21:50:00
G002,粤Z88018_0,B2,04/06/2022 21:52:34
G003,粤Z88018_0,B2,04/06/2022 21:53:51
G004,粤Z88018_0,B2,04/06/2022 21:55:34
G005,粤Z88018_0,B2,04/06/2022 21:56:36
G006,粤Z88018_0,B2,04/06/2022 21:59:37
G007,粤Z88018_0,B2,04/06/2022 22:01:55
G008,粤Z88018_0,B2,04/06/2022 22:05:04
G009,粤Z88018_0,B2,04/06/2022 22:08:12
G010,粤Z88018_0,B2,04/06/2022 22:12:39
G011,粤Z88018_0,B2,04/06/2022 22:14:52
G010,闽Z76948_1,B3,01/06/2022 18:38:00
G011,闽Z76948_1,B3,01/06/2022 18:40:49
G007,浙F88277_1,T2,01/06/2022 15:47:00
G008,浙F88277_1,T2,01/06/2022 15:56:15
G005,浙F88277_1,T2,02/06/2022 13:26:00
G006,浙F88277_1,T2,02/06/2022 13:30:39
G007,浙F88277_1,T2,02/06/2022 13:32:48
G008,浙F88277_1,T2,02/06/2022 13:36:58
G009,浙F88277_1,T2,02/06/2022 13:39:02
G010,浙F88277_1,T2,02/06/2022 13:44:46
G007,浙F88277_1,T2,03/06/2022 18:38:00
G008,浙F88277_1,T2,03/06/2022 18:46:36
G009,浙F88277_1,T2,03/06/2022 18:51:18
G010,浙F88277_1,T2,03/06/2022 18:57:53
G009,浙F88277_1,T2,04/06/2022 19:20:00
G010,浙F88277_1,T2,04/06/2022 19:24:26
G011,浙F88277_1,T2,04/06/2022 19:29:08
G002,浙C68398_0,B2,02/06/2022 07:08:00
G003,浙C68398_0,B2,02/06/2022 07:10:44
G004,浙C68398_0,B2,02/06/2022 07:14:12
G005,浙C68398_0,B2,02/06/2022 07:16:24
G006,浙C68398_0,B2,02/06/2022 07:23:43
G008,浙C68398_0,B2,03/06/2022 19:31:00
G009,浙C68398_0,B2,03/06/2022 19:33:35
G010,浙C68398_0,B2,03/06/2022 19:39:47
G006,浙C68398_0,B2,04/06/2022 09:43:00
G007,浙C68398_0,B2,04/06/2022 09:46:21
G008,浙C68398_0,B2,04/06/2022 09:50:06
G009,川H89345_1,B1,01/06/2022 08:56:00
G010,川H89345_1,B1,01/06/2022 09:00:59
G011,川H89345_1,B1,01/06/2022 09:05:35
G008,川H89345_1,B1,03/06/2022 15:17:00
G009,川H89345_1,B1,03/06/2022 15:19:43
G010,川H89345_1,B1,03/06/2022 15:22:51
G011,川H89345_1,B1,03/06/2022 15:25:05
G004,川H89345_1,B1,04/06/2022 15:08:00
G005,川H89345_1,B1,04/06/2022 15:10:43
G006,川H89345_1,B1,04/06/2022 15:14:12
